48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003570e+000    4.912824e+000    2.807128e+000    1.772360e+000 
1.000000e+000    1.000000e+000    7.913107e+000    5.620739e+000    3.335850e+000    2.058840e+000 
1.000000e+000    2.000000e+000    9.309435e+000    6.580977e+000    3.892211e+000    2.441552e+000 
1.000000e+000    3.000000e+000    9.875614e+000    7.167730e+000    4.386052e+000    2.760754e+000 
1.000000e+000    4.000000e+000    1.064019e+001    7.742228e+000    4.754921e+000    3.002113e+000 
1.000000e+000    5.000000e+000    1.112231e+001    8.183680e+000    5.030305e+000    3.240469e+000 
2.000000e+000    5.000000e-001    6.938106e+000    6.058579e+000    4.760682e+000    3.549368e+000 
2.000000e+000    1.000000e+000    6.286291e+000    5.444944e+000    4.057394e+000    2.604515e+000 
2.000000e+000    2.000000e+000    5.387336e+000    4.542085e+000    3.061370e+000    NaN 
2.000000e+000    3.000000e+000    4.852613e+000    3.915677e+000    1.002287e+000    NaN 
2.000000e+000    4.000000e+000    4.502115e+000    3.488684e+000    NaN    NaN 
2.000000e+000    5.000000e+000    4.129505e+000    3.114491e+000    NaN    NaN 
3.000000e+000    5.000000e-001    5.751891e+000    4.992109e+000    4.023452e+000    3.176406e+000 
3.000000e+000    1.000000e+000    5.056419e+000    4.489517e+000    3.435496e+000    2.532686e+000 
3.000000e+000    2.000000e+000    4.412074e+000    3.688093e+000    2.670504e+000    NaN 
3.000000e+000    3.000000e+000    3.884302e+000    3.239404e+000    2.083517e+000    NaN 
3.000000e+000    4.000000e+000    3.585555e+000    2.892983e+000    NaN    NaN 
3.000000e+000    5.000000e+000    3.352186e+000    2.612858e+000    NaN    NaN 
4.000000e+000    5.000000e-001    5.437944e+000    4.803993e+000    3.836493e+000    3.066632e+000 
4.000000e+000    1.000000e+000    4.757093e+000    4.084606e+000    3.221526e+000    2.458543e+000 
4.000000e+000    2.000000e+000    3.931845e+000    3.377875e+000    2.490156e+000    1.510890e+000 
4.000000e+000    3.000000e+000    3.542906e+000    2.957054e+000    2.007838e+000    NaN 
4.000000e+000    4.000000e+000    3.284932e+000    2.655704e+000    1.609063e+000    NaN 
4.000000e+000    5.000000e+000    3.035965e+000    2.399039e+000    1.303103e+000    NaN 
6.000000e+000    5.000000e-001    5.349459e+000    4.749139e+000    3.798170e+000    3.081235e+000 
6.000000e+000    1.000000e+000    4.560392e+000    3.894163e+000    3.091624e+000    2.432356e+000 
6.000000e+000    2.000000e+000    3.683373e+000    3.151148e+000    2.372070e+000    1.642731e+000 
6.000000e+000    3.000000e+000    3.290826e+000    2.748214e+000    1.901421e+000    NaN 
6.000000e+000    4.000000e+000    2.981509e+000    2.430470e+000    1.579692e+000    NaN 
6.000000e+000    5.000000e+000    2.794133e+000    2.179768e+000    1.339134e+000    NaN 
8.000000e+000    5.000000e-001    5.538581e+000    4.856129e+000    3.904934e+000    3.203971e+000 
8.000000e+000    1.000000e+000    4.544240e+000    3.885646e+000    3.088720e+000    2.442254e+000 
8.000000e+000    2.000000e+000    3.589544e+000    3.065001e+000    2.335015e+000    1.676148e+000 
8.000000e+000    3.000000e+000    3.189143e+000    2.654832e+000    1.881365e+000    1.141064e+000 
8.000000e+000    4.000000e+000    2.899357e+000    2.355615e+000    1.547817e+000    NaN 
8.000000e+000    5.000000e+000    2.677687e+000    2.111330e+000    1.321099e+000    NaN 
1.000000e+001    5.000000e-001    5.744851e+000    4.985417e+000    4.070974e+000    3.342485e+000 
1.000000e+001    1.000000e+000    4.593112e+000    3.915440e+000    3.124886e+000    2.480609e+000 
1.000000e+001    2.000000e+000    3.550448e+000    3.024252e+000    2.316819e+000    1.687413e+000 
1.000000e+001    3.000000e+000    3.129933e+000    2.602333e+000    1.852233e+000    1.185274e+000 
1.000000e+001    4.000000e+000    2.843527e+000    2.298351e+000    1.517956e+000    NaN 
1.000000e+001    5.000000e+000    2.596738e+000    2.011616e+000    1.306520e+000    NaN 
1.200000e+001    5.000000e-001    5.935650e+000    5.265933e+000    4.303934e+000    3.467997e+000 
1.200000e+001    1.000000e+000    4.656500e+000    3.957187e+000    3.175367e+000    2.518751e+000 
1.200000e+001    2.000000e+000    3.543273e+000    3.014035e+000    2.308086e+000    1.696046e+000 
1.200000e+001    3.000000e+000    3.098155e+000    2.566730e+000    1.835850e+000    1.204614e+000 
1.200000e+001    4.000000e+000    2.807839e+000    2.256598e+000    1.497252e+000    NaN 
1.200000e+001    5.000000e+000    2.541037e+000    1.971647e+000    1.292423e+000    NaN 
