48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003692e+000    4.912860e+000    2.807138e+000    1.772364e+000 
1.000000e+000    1.000000e+000    7.913175e+000    5.620780e+000    3.335862e+000    2.058844e+000 
1.000000e+000    2.000000e+000    9.309522e+000    6.581006e+000    3.892219e+000    2.441555e+000 
1.000000e+000    3.000000e+000    9.875680e+000    7.167757e+000    4.386060e+000    2.760757e+000 
1.000000e+000    4.000000e+000    1.064025e+001    7.742253e+000    4.754929e+000    3.002116e+000 
1.000000e+000    5.000000e+000    1.112231e+001    8.183685e+000    5.030309e+000    3.240470e+000 
2.000000e+000    5.000000e-001    3.986150e+000    3.126237e+000    2.049307e+000    1.404126e+000 
2.000000e+000    1.000000e+000    5.012150e+000    3.845218e+000    2.475560e+000    1.620987e+000 
2.000000e+000    2.000000e+000    6.654062e+000    4.945373e+000    3.072329e+000    1.969893e+000 
2.000000e+000    3.000000e+000    7.865949e+000    5.836160e+000    3.545219e+000    2.287002e+000 
2.000000e+000    4.000000e+000    8.708176e+000    6.534586e+000    3.969267e+000    2.515734e+000 
2.000000e+000    5.000000e+000    9.363609e+000    7.060925e+000    4.387915e+000    2.755398e+000 
3.000000e+000    5.000000e-001    3.436410e+000    2.707074e+000    1.843662e+000    1.290780e+000 
3.000000e+000    1.000000e+000    4.534919e+000    3.434700e+000    2.269705e+000    1.467043e+000 
3.000000e+000    2.000000e+000    6.016141e+000    4.616764e+000    2.831046e+000    1.838755e+000 
3.000000e+000    3.000000e+000    7.092459e+000    5.447324e+000    3.337014e+000    2.126121e+000 
3.000000e+000    4.000000e+000    7.774856e+000    6.004847e+000    3.757505e+000    2.378925e+000 
3.000000e+000    5.000000e+000    8.211840e+000    6.451560e+000    4.088428e+000    2.581995e+000 
4.000000e+000    5.000000e-001    3.248604e+000    2.632388e+000    1.783474e+000    1.230874e+000 
4.000000e+000    1.000000e+000    4.368144e+000    3.321276e+000    2.129087e+000    1.415755e+000 
4.000000e+000    2.000000e+000    5.791473e+000    4.479648e+000    2.756325e+000    1.770983e+000 
4.000000e+000    3.000000e+000    6.647477e+000    5.177241e+000    3.246444e+000    2.044571e+000 
4.000000e+000    4.000000e+000    7.138232e+000    5.671069e+000    3.623008e+000    2.311789e+000 
4.000000e+000    5.000000e+000    7.469171e+000    5.934318e+000    3.890487e+000    2.483326e+000 
6.000000e+000    5.000000e-001    3.133003e+000    2.458353e+000    1.674330e+000    1.163181e+000 
6.000000e+000    1.000000e+000    4.240922e+000    3.224543e+000    2.037581e+000    1.361803e+000 
6.000000e+000    2.000000e+000    5.452417e+000    4.291758e+000    2.671988e+000    1.706261e+000 
6.000000e+000    3.000000e+000    5.978099e+000    4.820810e+000    3.125091e+000    1.986740e+000 
6.000000e+000    4.000000e+000    6.331583e+000    5.094695e+000    3.410712e+000    2.230969e+000 
6.000000e+000    5.000000e+000    6.497565e+000    5.278065e+000    3.570739e+000    2.372617e+000 
8.000000e+000    5.000000e-001    3.029019e+000    2.414648e+000    1.609062e+000    1.117907e+000 
8.000000e+000    1.000000e+000    4.149592e+000    3.157188e+000    1.982784e+000    1.331567e+000 
8.000000e+000    2.000000e+000    5.094465e+000    4.080748e+000    2.632866e+000    1.679653e+000 
8.000000e+000    3.000000e+000    5.573794e+000    4.546474e+000    3.002430e+000    1.957458e+000 
8.000000e+000    4.000000e+000    5.752321e+000    4.721891e+000    3.226716e+000    2.157551e+000 
8.000000e+000    5.000000e+000    5.821380e+000    4.792249e+000    3.320899e+000    2.263279e+000 
1.000000e+001    5.000000e-001    2.997340e+000    2.368350e+000    1.560284e+000    1.088823e+000 
1.000000e+001    1.000000e+000    4.016518e+000    3.111262e+000    1.965255e+000    1.313693e+000 
1.000000e+001    2.000000e+000    4.845189e+000    3.908336e+000    2.577642e+000    1.667285e+000 
1.000000e+001    3.000000e+000    5.146803e+000    4.261994e+000    2.905377e+000    1.931457e+000 
1.000000e+001    4.000000e+000    5.308719e+000    4.404654e+000    3.038170e+000    2.079541e+000 
1.000000e+001    5.000000e+000    5.343255e+000    4.434323e+000    3.091041e+000    2.147070e+000 
1.200000e+001    5.000000e-001    2.936691e+000    2.330584e+000    1.525799e+000    1.061450e+000 
1.200000e+001    1.000000e+000    3.867230e+000    3.021801e+000    1.953792e+000    1.300756e+000 
1.200000e+001    2.000000e+000    4.638984e+000    3.744865e+000    2.518636e+000    1.658283e+000 
1.200000e+001    3.000000e+000    4.849745e+000    3.978189e+000    2.802221e+000    1.901727e+000 
1.200000e+001    4.000000e+000    4.913735e+000    4.070438e+000    2.893693e+000    1.996231e+000 
1.200000e+001    5.000000e+000    4.912065e+000    4.066278e+000    2.903308e+000    2.027314e+000 
