48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003624e+000    4.912840e+000    2.807132e+000    1.772362e+000 
1.000000e+000    1.000000e+000    7.913137e+000    5.620757e+000    3.335855e+000    2.058842e+000 
1.000000e+000    2.000000e+000    9.309474e+000    6.580990e+000    3.892215e+000    2.441553e+000 
1.000000e+000    3.000000e+000    9.875643e+000    7.167742e+000    4.386055e+000    2.760755e+000 
1.000000e+000    4.000000e+000    1.064022e+001    7.742239e+000    4.754924e+000    3.002114e+000 
1.000000e+000    5.000000e+000    1.112231e+001    8.183682e+000    5.030307e+000    3.240469e+000 
2.000000e+000    5.000000e-001    7.900596e+000    6.768628e+000    5.015102e+000    3.198684e+000 
2.000000e+000    1.000000e+000    7.225334e+000    5.995886e+000    4.240400e+000    1.090080e+000 
2.000000e+000    2.000000e+000    6.178967e+000    5.017960e+000    1.451283e+000    1.248771e+000 
2.000000e+000    3.000000e+000    5.537856e+000    4.295989e+000    1.431846e+000    1.203631e+000 
2.000000e+000    4.000000e+000    5.063471e+000    3.654781e+000    1.362799e+000    1.074077e+000 
2.000000e+000    5.000000e+000    4.692208e+000    1.477013e+000    1.247445e+000    NaN 
3.000000e+000    5.000000e-001    6.200035e+000    5.413718e+000    4.174977e+000    3.034782e+000 
3.000000e+000    1.000000e+000    5.609589e+000    4.792821e+000    3.540750e+000    NaN 
3.000000e+000    2.000000e+000    4.825311e+000    3.966881e+000    2.547805e+000    NaN 
3.000000e+000    3.000000e+000    4.342343e+000    3.447615e+000    NaN    NaN 
3.000000e+000    4.000000e+000    3.919351e+000    3.058140e+000    NaN    NaN 
3.000000e+000    5.000000e+000    3.652643e+000    2.685155e+000    NaN    NaN 
4.000000e+000    5.000000e-001    5.582367e+000    4.867419e+000    3.826771e+000    2.933668e+000 
4.000000e+000    1.000000e+000    4.941178e+000    4.337046e+000    3.275190e+000    2.195256e+000 
4.000000e+000    2.000000e+000    4.298424e+000    3.567392e+000    2.471209e+000    NaN 
4.000000e+000    3.000000e+000    3.838258e+000    3.135900e+000    NaN    NaN 
4.000000e+000    4.000000e+000    3.495240e+000    2.784418e+000    NaN    NaN 
4.000000e+000    5.000000e+000    3.277310e+000    2.479442e+000    NaN    NaN 
6.000000e+000    5.000000e-001    5.113849e+000    4.594670e+000    3.619601e+000    2.890643e+000 
6.000000e+000    1.000000e+000    4.593131e+000    3.909245e+000    3.044783e+000    2.304830e+000 
6.000000e+000    2.000000e+000    3.822764e+000    3.267677e+000    2.366861e+000    NaN 
6.000000e+000    3.000000e+000    3.440432e+000    2.854694e+000    1.839071e+000    NaN 
6.000000e+000    4.000000e+000    3.165701e+000    2.526402e+000    1.425968e+000    NaN 
6.000000e+000    5.000000e+000    2.926258e+000    2.269809e+000    1.127220e+000    NaN 
8.000000e+000    5.000000e-001    5.022447e+000    4.550545e+000    3.603027e+000    2.911854e+000 
8.000000e+000    1.000000e+000    4.455677e+000    3.818993e+000    2.985409e+000    2.332223e+000 
8.000000e+000    2.000000e+000    3.680700e+000    3.141206e+000    2.328009e+000    1.509396e+000 
8.000000e+000    3.000000e+000    3.297148e+000    2.737461e+000    1.863956e+000    NaN 
8.000000e+000    4.000000e+000    2.987996e+000    2.422453e+000    1.507648e+000    NaN 
8.000000e+000    5.000000e+000    2.793590e+000    2.195930e+000    1.261609e+000    NaN 
1.000000e+001    5.000000e-001    5.144029e+000    4.610665e+000    3.670978e+000    2.963813e+000 
1.000000e+001    1.000000e+000    4.426274e+000    3.797461e+000    2.978133e+000    2.356400e+000 
1.000000e+001    2.000000e+000    3.594664e+000    3.047768e+000    2.302933e+000    1.578165e+000 
1.000000e+001    3.000000e+000    3.206709e+000    2.665155e+000    1.845870e+000    NaN 
1.000000e+001    4.000000e+000    2.916647e+000    2.360386e+000    1.509670e+000    NaN 
1.000000e+001    5.000000e+000    2.706181e+000    2.102185e+000    1.284147e+000    NaN 
1.200000e+001    5.000000e-001    5.300690e+000    4.704900e+000    3.753208e+000    3.041240e+000 
1.200000e+001    1.000000e+000    4.456777e+000    3.807853e+000    2.989955e+000    2.381079e+000 
1.200000e+001    2.000000e+000    3.554253e+000    3.012147e+000    2.287522e+000    1.610998e+000 
1.200000e+001    3.000000e+000    3.154795e+000    2.620720e+000    1.833743e+000    1.055114e+000 
1.200000e+001    4.000000e+000    2.872092e+000    2.315795e+000    1.502528e+000    NaN 
1.200000e+001    5.000000e+000    2.642022e+000    2.032782e+000    1.285028e+000    NaN 
