48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003663e+000    4.912851e+000    2.807135e+000    1.772363e+000 
1.000000e+000    1.000000e+000    7.913159e+000    5.620770e+000    3.335859e+000    2.058843e+000 
1.000000e+000    2.000000e+000    9.309501e+000    6.580999e+000    3.892217e+000    2.441554e+000 
1.000000e+000    3.000000e+000    9.875664e+000    7.167751e+000    4.386058e+000    2.760756e+000 
1.000000e+000    4.000000e+000    1.064024e+001    7.742247e+000    4.754927e+000    3.002115e+000 
1.000000e+000    5.000000e+000    1.112231e+001    8.183684e+000    5.030308e+000    3.240470e+000 
2.000000e+000    5.000000e-001    9.893617e+000    8.049020e+000    5.235765e+000    NaN 
2.000000e+000    1.000000e+000    8.967995e+000    7.160909e+000    1.569113e+000    1.255358e+000 
2.000000e+000    2.000000e+000    7.729347e+000    5.659858e+000    1.950935e+000    1.542067e+000 
2.000000e+000    3.000000e+000    6.760794e+000    2.455400e+000    2.044569e+000    1.641602e+000 
2.000000e+000    4.000000e+000    6.080771e+000    2.478127e+000    2.035075e+000    1.616885e+000 
2.000000e+000    5.000000e+000    5.082913e+000    2.454277e+000    1.974209e+000    1.525197e+000 
3.000000e+000    5.000000e-001    7.332645e+000    6.116128e+000    4.209514e+000    NaN 
3.000000e+000    1.000000e+000    6.688615e+000    5.435908e+000    1.383412e+000    1.123508e+000 
3.000000e+000    2.000000e+000    5.723345e+000    4.403805e+000    1.542988e+000    1.299082e+000 
3.000000e+000    3.000000e+000    4.999694e+000    1.836688e+000    1.513704e+000    1.270299e+000 
3.000000e+000    4.000000e+000    4.467454e+000    1.783644e+000    1.449402e+000    1.163766e+000 
3.000000e+000    5.000000e+000    4.007473e+000    1.681827e+000    1.356231e+000    NaN 
4.000000e+000    5.000000e-001    6.332041e+000    5.349485e+000    3.832602e+000    NaN 
4.000000e+000    1.000000e+000    5.729274e+000    4.747980e+000    3.046473e+000    1.004493e+000 
4.000000e+000    2.000000e+000    4.881977e+000    3.860962e+000    1.339380e+000    1.102016e+000 
4.000000e+000    3.000000e+000    4.415615e+000    3.188942e+000    1.277274e+000    NaN 
4.000000e+000    4.000000e+000    3.920467e+000    1.387909e+000    1.141074e+000    NaN 
4.000000e+000    5.000000e+000    3.585677e+000    1.269107e+000    NaN    NaN 
6.000000e+000    5.000000e-001    5.465554e+000    4.718713e+000    3.539520e+000    2.355213e+000 
6.000000e+000    1.000000e+000    4.892052e+000    4.186432e+000    2.995515e+000    NaN 
6.000000e+000    2.000000e+000    4.273471e+000    3.450623e+000    NaN    NaN 
6.000000e+000    3.000000e+000    3.794378e+000    2.976213e+000    NaN    NaN 
6.000000e+000    4.000000e+000    3.452480e+000    2.568121e+000    NaN    NaN 
6.000000e+000    5.000000e+000    3.191925e+000    2.092693e+000    NaN    NaN 
8.000000e+000    5.000000e-001    5.023618e+000    4.496314e+000    3.445436e+000    2.572187e+000 
8.000000e+000    1.000000e+000    4.640206e+000    3.913106e+000    2.942199e+000    NaN 
8.000000e+000    2.000000e+000    3.930823e+000    3.295948e+000    2.134182e+000    NaN 
8.000000e+000    3.000000e+000    3.524180e+000    2.856514e+000    NaN    NaN 
8.000000e+000    4.000000e+000    3.253345e+000    2.494895e+000    NaN    NaN 
8.000000e+000    5.000000e+000    2.984511e+000    2.225533e+000    NaN    NaN 
1.000000e+001    5.000000e-001    4.927812e+000    4.368474e+000    3.415398e+000    2.649719e+000 
1.000000e+001    1.000000e+000    4.493424e+000    3.808692e+000    2.917465e+000    2.026984e+000 
1.000000e+001    2.000000e+000    3.794092e+000    3.191263e+000    2.205221e+000    NaN 
1.000000e+001    3.000000e+000    3.404742e+000    2.781804e+000    1.569942e+000    NaN 
1.000000e+001    4.000000e+000    3.116428e+000    2.446837e+000    NaN    NaN 
1.000000e+001    5.000000e+000    2.884181e+000    2.176515e+000    NaN    NaN 
1.200000e+001    5.000000e-001    4.892683e+000    4.345971e+000    3.404806e+000    2.705163e+000 
1.200000e+001    1.000000e+000    4.411563e+000    3.756614e+000    2.906489e+000    2.128526e+000 
1.200000e+001    2.000000e+000    3.703469e+000    3.127594e+000    2.224788e+000    NaN 
1.200000e+001    3.000000e+000    3.328094e+000    2.730903e+000    1.695143e+000    NaN 
1.200000e+001    4.000000e+000    3.015498e+000    2.402461e+000    1.160876e+000    NaN 
1.200000e+001    5.000000e+000    2.815505e+000    2.128832e+000    NaN    NaN 
