48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003695e+000    4.912861e+000    2.807138e+000    1.772365e+000 
1.000000e+000    1.000000e+000    7.913178e+000    5.620782e+000    3.335862e+000    2.058845e+000 
1.000000e+000    2.000000e+000    9.309525e+000    6.581007e+000    3.892220e+000    2.441555e+000 
1.000000e+000    3.000000e+000    9.875680e+000    7.167758e+000    4.386060e+000    2.760757e+000 
1.000000e+000    4.000000e+000    1.064025e+001    7.742253e+000    4.754929e+000    3.002116e+000 
1.000000e+000    5.000000e+000    1.112231e+001    8.183685e+000    5.030309e+000    3.240470e+000 
2.000000e+000    5.000000e-001    5.229814e+000    3.784653e+000    2.285149e+000    1.465686e+000 
2.000000e+000    1.000000e+000    6.228901e+000    4.476915e+000    2.685969e+000    1.707106e+000 
2.000000e+000    2.000000e+000    7.513525e+000    5.356691e+000    3.196450e+000    2.011938e+000 
2.000000e+000    3.000000e+000    8.447291e+000    6.004425e+000    3.594677e+000    2.303691e+000 
2.000000e+000    4.000000e+000    9.125870e+000    6.618517e+000    3.973638e+000    2.500891e+000 
2.000000e+000    5.000000e+000    9.800104e+000    7.110246e+000    4.317304e+000    2.714536e+000 
3.000000e+000    5.000000e-001    4.399590e+000    3.408358e+000    2.025894e+000    1.372095e+000 
3.000000e+000    1.000000e+000    5.692580e+000    4.050281e+000    2.454841e+000    1.544106e+000 
3.000000e+000    2.000000e+000    6.989307e+000    4.949831e+000    2.938156e+000    1.877825e+000 
3.000000e+000    3.000000e+000    8.059416e+000    5.735307e+000    3.350625e+000    2.124970e+000 
3.000000e+000    4.000000e+000    8.910848e+000    6.389412e+000    3.724490e+000    2.342505e+000 
3.000000e+000    5.000000e+000    9.611886e+000    6.924962e+000    4.054240e+000    2.508093e+000 
4.000000e+000    5.000000e-001    4.108969e+000    3.226572e+000    1.989496e+000    1.321311e+000 
4.000000e+000    1.000000e+000    5.466778e+000    3.872732e+000    2.322037e+000    1.472386e+000 
4.000000e+000    2.000000e+000    6.888845e+000    4.843320e+000    2.825169e+000    1.800298e+000 
4.000000e+000    3.000000e+000    7.961687e+000    5.638788e+000    3.251660e+000    2.017087e+000 
4.000000e+000    4.000000e+000    8.839707e+000    6.315464e+000    3.632916e+000    2.255700e+000 
4.000000e+000    5.000000e+000    9.504724e+000    6.865345e+000    3.965077e+000    2.433586e+000 
6.000000e+000    5.000000e-001    4.360257e+000    3.049941e+000    1.882305e+000    1.262874e+000 
6.000000e+000    1.000000e+000    5.377678e+000    3.733879e+000    2.208799e+000    1.417149e+000 
6.000000e+000    2.000000e+000    6.873070e+000    4.794358e+000    2.713066e+000    1.710458e+000 
6.000000e+000    3.000000e+000    7.890176e+000    5.617193e+000    3.170393e+000    1.943852e+000 
6.000000e+000    4.000000e+000    8.637846e+000    6.256882e+000    3.566720e+000    2.173090e+000 
6.000000e+000    5.000000e+000    9.150326e+000    6.764757e+000    3.920815e+000    2.367284e+000 
8.000000e+000    5.000000e-001    4.287944e+000    2.957004e+000    1.831766e+000    1.223051e+000 
8.000000e+000    1.000000e+000    5.383018e+000    3.661217e+000    2.134020e+000    1.384370e+000 
8.000000e+000    2.000000e+000    6.838696e+000    4.777970e+000    2.679328e+000    1.663496e+000 
8.000000e+000    3.000000e+000    7.763624e+000    5.599145e+000    3.154223e+000    1.915714e+000 
8.000000e+000    4.000000e+000    8.373740e+000    6.165133e+000    3.559105e+000    2.142977e+000 
8.000000e+000    5.000000e+000    8.777190e+000    6.606806e+000    3.907042e+000    2.349545e+000 
1.000000e+001    5.000000e-001    4.263775e+000    2.913558e+000    1.795064e+000    1.199486e+000 
1.000000e+001    1.000000e+000    5.351679e+000    3.652648e+000    2.094393e+000    1.362399e+000 
1.000000e+001    2.000000e+000    6.778836e+000    4.788702e+000    2.664272e+000    1.635284e+000 
1.000000e+001    3.000000e+000    7.564724e+000    5.558058e+000    3.159245e+000    1.899033e+000 
1.000000e+001    4.000000e+000    8.046414e+000    6.032613e+000    3.557896e+000    2.135435e+000 
1.000000e+001    5.000000e+000    8.352449e+000    6.394570e+000    3.877076e+000    2.342185e+000 
1.200000e+001    5.000000e-001    4.244438e+000    2.890128e+000    1.769433e+000    1.180384e+000 
1.200000e+001    1.000000e+000    5.363570e+000    3.654989e+000    2.073003e+000    1.348088e+000 
1.200000e+001    2.000000e+000    6.656917e+000    4.787690e+000    2.661638e+000    1.621497e+000 
1.200000e+001    3.000000e+000    7.353732e+000    5.494500e+000    3.160008e+000    1.896923e+000 
1.200000e+001    4.000000e+000    7.774025e+000    5.897951e+000    3.549039e+000    2.136763e+000 
1.200000e+001    5.000000e+000    7.994196e+000    6.190883e+000    3.845500e+000    2.343123e+000 
